province,zone,no,score
กรุงเทพมหานคร,16,28,52
กรุงเทพมหานคร,16,30,40
กรุงเทพมหานคร,16,15,33
กรุงเทพมหานคร,16,27,29
กรุงเทพมหานคร,16,29,19
กรุงเทพมหานคร,17,10,25329
กรุงเทพมหานคร,17,9,24610
กรุงเทพมหานคร,17,1,18391
กรุงเทพมหานคร,17,6,8868
กรุงเทพมหานคร,17,4,7190
กรุงเทพมหานคร,17,26,2070
กรุงเทพมหานคร,17,7,1781
กรุงเทพมหานคร,17,20,732
กรุงเทพมหานคร,17,3,306
กรุงเทพมหานคร,17,5,223
กรุงเทพมหานคร,17,18,179
กรุงเทพมหานคร,17,30,174
กรุงเทพมหานคร,17,2,159
กรุงเทพมหานคร,17,14,142
กรุงเทพมหานคร,17,29,126
กรุงเทพมหานคร,17,21,121
กรุงเทพมหานคร,17,17,108
กรุงเทพมหานคร,17,16,96
กรุงเทพมหานคร,17,11,89
กรุงเทพมหานคร,17,13,88
กรุงเทพมหานคร,17,15,67
กรุงเทพมหานคร,17,25,65
กรุงเทพมหานคร,17,12,60
กรุงเทพมหานคร,17,24,58
กรุงเทพมหานคร,17,22,56
กรุงเทพมหานคร,17,23,41
กรุงเทพมหานคร,17,19,37
กรุงเทพมหานคร,17,27,32
กรุงเทพมหานคร,17,36,32
กรุงเทพมหานคร,17,28,30
กรุงเทพมหานคร,17,33,28
กรุงเทพมหานคร,17,34,15
กรุงเทพมหานคร,17,31,13
กรุงเทพมหานคร,17,35,12
กรุงเทพมหานคร,17,8,0
กรุงเทพมหานคร,17,32,0
กรุงเทพมหานคร,18,15,35361
กรุงเทพมหานคร,18,11,22346
กรุงเทพมหานคร,18,1,20739
กรุงเทพมหานคร,18,9,7295
กรุงเทพมหานคร,18,29,3119
กรุงเทพมหานคร,18,2,2143
กรุงเทพมหานคร,18,14,955
กรุงเทพมหานคร,18,8,603
กรุงเทพมหานคร,18,3,275
กรุงเทพมหานคร,18,22,275
กรุงเทพมหานคร,18,13,256
กรุงเทพมหานคร,18,4,229
กรุงเทพมหานคร,18,6,214
กรุงเทพมหานคร,18,10,180
กรุงเทพมหานคร,18,5,179
กรุงเทพมหานคร,18,21,137
กรุงเทพมหานคร,18,25,124
กรุงเทพมหานคร,18,7,105
กรุงเทพมหานคร,18,17,72
กรุงเทพมหานคร,18,19,71
กรุงเทพมหานคร,18,12,69
กรุงเทพมหานคร,18,20,59
กรุงเทพมหานคร,18,16,58
กรุงเทพมหานคร,18,24,47
กรุงเทพมหานคร,18,23,30
กรุงเทพมหานคร,18,26,28
กรุงเทพมหานคร,18,18,22
กรุงเทพมหานคร,18,28,19
กรุงเทพมหานคร,18,27,15
กรุงเทพมหานคร,19,9,28203
กรุงเทพมหานคร,19,3,23554
กรุงเทพมหานคร,19,1,21839
กรุงเทพมหานคร,19,14,16284
กรุงเทพมหานคร,19,20,5082
กรุงเทพมหานคร,19,16,2094
กรุงเทพมหานคร,19,5,957
กรุงเทพมหานคร,19,8,767
กรุงเทพมหานคร,19,17,352
กรุงเทพมหานคร,19,11,341
กรุงเทพมหานคร,19,10,211
