year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_243,เปลี่ยนอนาคต,243,55,0,38
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_172,ประชาภิวัฒน์,172,43,0,39
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_204,พลังเพื่อไทย,204,36,0,40
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_211,ภาคีเครือข่ายไทย,211,35,0,41
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_241,ไทยเป็นหนึ่ง,241,35,0,42
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_228,มิติใหม่,228,34,0,43
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_232,พลังสยาม,232,33,0,44
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_235,แนวทางใหม่,235,32,0,45
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_188,แผ่นดินธรรม,188,29,0,46
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_236,เสมอภาค,236,26,0,47
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_153,พลังประชาธิปไตย,153,26,0,48
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_230,ไทยสมาร์ท,230,26,0,49
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_133,รักษ์ผืนป่าประเทศไทย,133,25,0,50
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_173,เส้นด้าย,173,18,0,53
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_240,ราษฎร์วิถี,240,17,0,54
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_217,เพื่ออนาคตไทย,217,17,0,55
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_189,คลองไทย,189,16,0,56
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_155,พลังไทยรักชาติ,155,14,0,57
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_157,ช่วยชาติ,157,13,0,58
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_129,ถิ่นกาขาวชาววิไล,129,12,0,60
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_209,สามัญชน,209,12,0,61
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_186,รวมแผ่นดิน,186,7,0,63
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_184,พลังปวงชนไทย,184,7,0,64
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_249,ชาติรุ่งเรือง,249,5,0,65
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_198,พลังสังคม,198,5,0,66
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_154,ภราดรภาพ,154,5,0,67
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_164,ก้าวไกล,164,54294,47.0,1
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_229,รวมไทยสร้างชาติ,229,22455,19.0,2
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_34,เพื่อไทย,34,18979,16.0,3
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_1,ประชาธิปัตย์,1,3466,3.0,4
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_192,พลังประชารัฐ,192,1781,1.0,5
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_109,ประชาธิปไตยใหม่,109,1755,1.0,6
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_63,ภูมิใจไทย,63,1396,1.0,7
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_145,เสรีรวมไทย,145,1361,1.0,8
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_118,ครูไทยเพื่อประชาชน,118,1141,1.0,9
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_242,ท้องที่ไทย,242,858,0,10
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_227,ไทยสร้างไทย,227,699,0,11
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_245,แรงงานสร้างชาติ,245,452,0,12
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_234,ไทยภักดี,234,442,0,13
2566,pv_75_z_1,pv_75,สมุทรสงคราม,ภาคตะวันตก,1,ely_y2566_id_45,ชาติพัฒนากล้า,45,369,0,14
