year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_192,192,192,7979,6.0,4
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_63,,63,2562,2.0,5
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_227,227,227,1150,0,6
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_145,145,145,1141,0,7
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_1,,1,1005,0,8
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_245,245,245,726,0,9
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_226,226,226,470,0,10
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_185,185,185,469,0,11
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_244,244,244,423,0,12
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_234,234,234,421,0,13
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_203,203,203,417,0,14
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_183,183,183,355,0,15
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_55,,55,293,0,16
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_250,250,250,286,0,17
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_247,247,247,261,0,18
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_45,,45,259,0,19
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_175,175,175,254,0,20
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_2,,2,236,0,21
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_221,221,221,231,0,22
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_109,,109,225,0,23
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_242,242,242,208,0,24
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_238,238,238,195,0,25
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_149,149,149,189,0,26
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_252,252,252,186,0,27
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_118,,118,177,0,28
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_204,204,204,169,0,29
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_56,,56,167,0,30
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_170,170,170,167,0,31
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_187,187,187,147,0,32
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_237,237,237,139,0,33
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_246,246,246,139,0,34
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_178,178,178,135,0,35
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_181,181,181,132,0,36
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_211,211,211,121,0,37
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_205,205,205,121,0,38
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_180,180,180,113,0,39
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_243,243,243,103,0,40
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_228,228,228,102,0,41
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_236,236,236,76,0,42
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_206,206,206,65,0,43
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_217,217,217,55,0,44
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_241,241,241,50,0,45
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_189,189,189,48,0,46
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_155,155,155,47,0,47
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_133,133,133,43,0,48
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_172,172,172,41,0,49
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_232,232,232,39,0,50
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_230,230,230,38,0,51
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_188,188,188,36,0,52
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_153,153,153,31,0,55
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_209,209,209,30,0,56
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_186,186,186,29,0,57
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_173,173,173,29,0,58
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_157,157,157,26,0,59
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_129,129,129,20,0,60
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_198,198,198,20,0,61
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_235,235,235,19,0,62
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_240,240,240,18,0,63
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_184,184,184,15,0,64
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_249,249,249,15,0,65
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_154,154,154,6,0,67
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_164,164,164,36703,38.0,1
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_34,,34,24630,25.0,2
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_229,229,229,16368,17.0,3
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_63,,63,5096,5.0,4
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_247,247,247,2462,2.0,5
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_1,,1,1204,1.0,6
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_145,145,145,837,0,7
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_109,,109,806,0,8
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_245,245,245,715,0,9
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_227,227,227,714,0,10
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_192,192,192,477,0,11
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_45,,45,448,0,12
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_185,185,185,399,0,13
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_221,221,221,376,0,14
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_244,244,244,317,0,15
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_242,242,242,302,0,16
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_234,234,234,272,0,17
2566,pv_18_z_1,pv_18,,,1,ely_y2566_id_250,250,250,252,0,18
